,Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),challenge level numeric
29,9/24/2013,4,6,sweet dough,yeasted tea loaf,180.0,apricot couronne,165.0,24 european sweet buns,270.0,
30,10/1/2013,4,7,pastry,suet pudding,180.0,8 religieuses,120.0,36 sweet puffed pastries,240.0,2.0
31,10/8/2013,4,8,alternative ingredients,wheat-free loaf,180.0,hazelnut dacquoise,165.0,dairy-free vegetable cake,240.0,
32,10/15/2013,4,9,french week,36 canapés,150.0,charlotte royale,150.0,opera cake,150.0,2.0
33,10/22/2013,4,10,final,picnic pie,180.0,6 savory and 6 sweet pretzels,150.0,three tiered wedding cake,400.0,
34,8/6/2014,5,1,cake,swiss roll,150.0,cherry cake,120.0,36 classic miniature british cakes,210.0,
35,8/13/2014,5,2,biscuit,36 savoury biscuits,120.0,18 florentines,105.0,3d biscuit scene,240.0,
36,8/20/2014,5,3,bread,12 rye bread rolls,210.0,4 ciabattas,180.0,filled centrepiece loaf,240.0,2.0
37,8/27/2014,5,4,dessert,8 self-saucing puddings,120.0,tiramisu cake,150.0,baked alaska,270.0,
38,9/3/2014,5,5,pies and tarts,custard tart,150.0,mini pear pies,120.0,three-tiered pie,270.0,
39,9/10/2014,5,6,european cakes,yeast-leavened cake,180.0,prinsesstårta,135.0,dobos torte,300.0,
40,9/17/2014,5,7,pastry,12 savoury parcels,105.0,kougin-amann,210.0,24 éclairs,240.0,
41,9/24/2014,5,8,advanced dough,fruit loaf,150.0,povitica,150.0,36 doughnuts,240.0,
42,10/1/2014,5,9,pâtisserie,24 baklava,210.0,schichttorte,120.0,24 entremets,300.0,
43,10/8/2014,5,10,final,viennoiserie,210.0,"12 mini victoria sandwiches, 12 mini tarte au citron, 12 mini scones",120.0,pièce montée,300.0,
44,8/5/2015,6,1,cake,madeira cake,120.0,frosted walnut layer cake,105.0,black forest gâteau,210.0,2.0
45,8/12/2015,6,2,biscuit,24 biscotti,120.0,8 arlettes,150.0,36 biscuits and an edible biscuit box,240.0,
46,8/19/2015,6,3,bread,2 quick breads,90.0,4 baguettes,150.0,3d bread sculpture,300.0,
47,8/26/2015,6,4,dessert,12 crème brûlées,120.0,spanische windtorte,240.0,three-tiered cheesecake,270.0,
48,9/2/2015,6,5,alternative ingredients,sugar-free cake,150.0,12 gluten-free pita bread,120.0,dairy-free ice cream roll,270.0,
49,9/9/2015,6,6,pastry,frangipane tart,120.0,12 flaounes,120.0,48 vol-au-vents,225.0,
50,9/16/2015,6,7,victorian,raised game pie,180.0,tennis cake,180.0,charlotte russe,330.0,
51,9/23/2015,6,8,pâtisserie,24 cream horns,210.0,9 mokatines,120.0,religieuse à l'ancienne,240.0,
52,9/30/2015,6,9,chocolate,chocolate tart,150.0,chocolate soufflé,75.0,chocolate centrepieces,240.0,
53,10/7/2015,6,10,final,16 iced buns,180.0,mille-feuille,120.0,classic british cake,240.0,2.0
54,8/24/2016,7,1,cake,drizzle cake,120.0,12 jaffa cakes,,mirror glaze cake,,2.0
55,8/31/2016,7,2,biscuit,24 iced biscuits,150.0,12 viennese whirls,90.0,gingerbread 3d scene,240.0,2.0
56,9/7/2016,7,3,bread,chocolate loaf,150.0,dampfnudel,120.0,savoury plaited centrepiece,240.0,
